Source,Date,Researcher,Species,Breeding,Block,Latitude,Longitude
Incidental,6/18/2025,William Legge,VGSW,AE,14-18,37.833015,-122.534859
Incidental,4/24/2024,William Legge,RTHA,AE,14-16,37.838722,-122.521421
Incidental,5/23/2023,Mark Dettling,DOWO,AE,14-15,37.84683,-122.54662
Incidental,2/25/2023,Evan Weissman,RTHA,AE,17-13,37.858174,-122.427237
Incidental,4/27/2022,Evan Weissman,RTHA,AE,17-13,37.858575,-122.427595
Incidental,3/26/2023,Sylvie Silverstein,KILL,AE,17-1,37.86087,-122.48685
Incidental,5/1/2022,David MacKenzie,PYNU,AE,14-2,37.8636,-122.5863
Incidental,5/7/2022,Evan Weissman,ACWO,AE,17-13,37.86389354,-122.4251892
Incidental,4/22/2022,Evan Weissman,NUWO,AE,17-13,37.866047,-122.434914
Incidental,4/28/2022,Evan Weissman,PYNU,AE,17-13,37.867551,-122.42519
Incidental,6/3/2023,Evan Weissman,BLPH,AE,17-13,37.86973,-122.42551
Incidental,6/18/2025,Sylvie Silverstein,WEGU,AE,16-3,37.87334,-122.46228
Incidental,6/11/2022,David MacKenzie,TRES,AE,14-2,37.8737,-122.5833
Incidental,4/13/2022,Sylvie Silverstein,ANHU,AE,13-24,37.8765,-122.5206
Incidental,4/13/2022,"Silverstein, Sylvie",ANHU,AE,13-24,37.8765,-122.5206
Incidental,4/13/2022,"Silverstein, Sylvie",ANHU,AE,13-24,37.8765,-122.5206
Incidental,4/13/2022,Sylvie Silverstein,BUSH,AE,13-24,37.8769,-122.516
Incidental,4/13/2022,"Silverstein, Sylvie",BUSH,AE,13-24,37.8769,-122.516
Incidental,6/26/2025,Rusty Scalf,WTSW,AE,13-24,37.880442,-122.516277
Incidental,6/26/2025,Rusty Scalf,NRWS,AE,13-24,37.880584,-122.516569
Incidental,4/13/2022,Sylvie Silverstein,BUSH,AE,13-24,37.8812,-122.5223
Incidental,4/13/2022,"Silverstein, Sylvie",BUSH,AE,13-24,37.8812,-122.5223
Incidental,4/7/2021,Bill Keener,BAEA,AE,16-3,37.8826,-122.4406
Incidental,7/15/2021,Ron Brown,DCCO,AE,13-24,37.88681213,-122.5146383
Incidental,4/20/2023,Lynn Perry,MODO,AE,13-24,37.89472,-122.52156
Incidental,7/2/2023,Diana Humple,BEKI,AE,10-10,37.90703,-122.68292
Incidental,4/19/2021,Carla Parkinson,MODO,AE,16-2,37.910145,-122.485385
Incidental,6/9/2021,Diana Humple,WEGU,AE,10-10,37.91016,-122.68356
Incidental,5/11/2021,Nancy Hanson,MODO,AE,13-21,37.91580456,-122.5354816
Incidental,6/28/2023,Lynn Perry,PYNU,AE,10-8,37.92138,-122.69066
Incidental,6/28/2023,Lynn Perry,TRES,AE,10-8,37.92138,-122.69067
Incidental,6/25/2023,Lynn Perry,ANHU,AE,13-19,37.922028,-122.534678
Incidental,3/31/2024,Diana Humple & Carleton Eyster,BTPI,AE,10-8,37.92697,-122.715
Incidental,6/30/2021,ronald brown,FOTE,AE,13-20,37.9338,-122.515
Incidental,3/21/2025,Maggie Brown,GHOW,AE,13-5,37.938591,-122.597454
Incidental,4/17/2022,Kati Malabed,WEBL,AE,13-18,37.9398,-122.5293
Incidental,5/13/2022,Lisa Hug,VGSW,AE,13-5,37.9465,-122.5975
Incidental,6/28/2024,"Janet Burnham, Judy Chin",HAWO,AE,13-5,37.94768,-122.59523
Incidental,4/27/2022,Lisa Hug,PIWO,AE,13-5',37.94813,-122.5957
Incidental,4/9/2022,Patricia Diluzio,BLPH,AE,13-15,37.96234,-122.55518
Incidental,5/20/2024,"Lumpkin, David",BAEA,AE,16-1,37.96436,-122.468
Incidental,5/18/2024,Rusty Scalf,HOOR,AE,16-1,37.979439,-122.477012
Incidental,5/1/2025,liz lewis for eddie molnar,CLSW,AE,13-2,37.98237,-122.57259
Incidental,5/3/2024,Rusty Scalf,BEKI,AE,16-1,37.98369167,-122.4646111
Incidental,6/28/2025,Gerry McChesney,WEGU,AE,7-13,37.984301,-122.810899
Incidental,4/10/2022,Derek Lecy,BLPH,AE,13-13,37.98529092,-122.5520392
Incidental,6/28/2025,Gerry McChesney,COMU,AE,7-13,37.987901,-122.815721
Incidental,5/31/2025,Rusty Scalf,WTSW,AE,13-13,37.994195,-122.532195
Incidental,5/31/2025,Rusty Scalf,NRWS,AE,13-13,37.994195,-122.532195
Incidental,4/2/2024,Sam Eberhard,ALHU,AE,3-11,37.99535,-122.97763
Incidental,5/18/2024,Dominik Mosur,BRBL,AE,3-11,37.997448,-122.982922
Incidental,6/28/2025,Gerry McChesney,BLOY,AE,7-13,37.998279,-122.827743
Incidental,6/28/2025,Gerry McChesney,PECO,AE,7-13,37.998312,-122.827722
Incidental,6/28/2025,Gerry McChesney,COMU,AE,7-13,37.998545,-122.82917
Incidental,6/17/2021,Nancy Hanson,VGSW,AE,10-14,37.99963464,-122.6357858
Incidental,3/19/2025,Oulana Dobrin,BTPI,AE,13-14,37.999772,-122.50779
Incidental,5/31/2025,Rusty Scalf,NRWS,AE,12-23,38.003691,-122.539845
Incidental,6/18/2025,Rusty Scalf,WTSW,AE,12-23,38.003732,-122.539438
Incidental,4/15/2025,Ann Linder,TUVU,AE,9-24,38.00561,-122.6332
Incidental,3/27/2023,Nancy Hanson,OATI,AE,9-24,38.00636988,-122.6350896
Incidental,5/4/0022,Nancy Hanson,CASJ,AE,9-24,38.00643044,-122.6350188
Incidental,6/23/2022,Bob Battagin,CALT,AE,9-24,38.00831,-122.634845
Incidental,6/12/2022,Bob Battagin,VGSW,AE,9-24,38.008355,-122.635121
Incidental,6/28/2023,Diana Humple,BHGR,AE,6-12,38.01156,-122.81512
Incidental,5/27/2022,Nancy Hanson,BLPH,AE,9-23,38.01250572,-122.6629274
Incidental,6/11/2021,Nancy Hanson,VGSW,AE,9-23,38.01262999,-122.6598732
Incidental,6/11/2021,Nancy Hanson,VGSW,AE,9-23,38.01322058,-122.6608487
Incidental,5/27/2022,Nancy Hanson,VGSW,AE,9-23,38.01337264,-122.6609539
Incidental,6/14/2024,Seth Bunnell,SSHA,AE,9-11,38.0153,-122.7244
Incidental,5/6/2025,Bob Battagin,CLSW,AE,6-24,38.016102,-122.770263
Incidental,5/6/2025,Bob Battagin,BARS,AE,6-24,38.016102,-122.770263
Incidental,6/19/2025,Kenneth Hillan,ACWO,AE,9-12,38.016366,-122.6988044
Incidental,4/17/2022,Nancy Hanson,RWBL,AE,9-23,38.01860912,-122.6775088
Incidental,5/1/2022,Nancy Hanson,WEBL,AE,9-23,38.01973392,-122.674703
Incidental,4/21/2021,Susan Kelly,WEBL,AE,12-24,38.02002,-122.52422
Incidental,5/11/0023,Susan Kelly,ACWO,AE,12-22,38.021306,-122.525839
Incidental,6/21/2021,Patricia DiLuzio,MAWR,AE,12-22,38.02859,-122.516712
Incidental,4/8/2021,Susan Kelly,CANG,AE,12-22,38.03034722,-122.5103083
Incidental,4/11/2024,Lisa Hug (MCBBA2 training),BLPH,AE,12-21,38.03071,-122.55156
Incidental,5/13/2025,Kenneth Hillan,TRES,AE,9-10,38.0310015,-122.703792
